WKT,name,description
"POINT (37.1468824 -0.7169037)",Boundary 1,
"POINT (37.1463513 -0.7153804)",Boundary 2,
"POINT (37.1471533 -0.7147769)",Point 4,
"POINT (37.1474323 -0.7140421)",Point 5,
"POINT (37.148135 -0.713688)",Point 6,
"POINT (37.149283 -0.7133608)",Point 7,
"POINT (37.1498892 -0.7131999)",Point 8,
"POINT (37.1508387 -0.7136237)",Point 9,
"POINT (37.151933 -0.7141011)",Point 10,
"POINT (37.1527269 -0.7144712)",Point 11,
"POINT (37.1534941 -0.7148252)",Point 12,
"POINT (37.1539125 -0.7150666)",Point 13,
"POINT (37.1542236 -0.7154367)",Point 14,
"POINT (37.1543524 -0.7156298)",Point 15,
"POINT (37.154626 -0.7158873)",Point 16,
"POINT (37.1548137 -0.7164183)",Point 17,
"POINT (37.1548834 -0.7168367)",Point 18,
"POINT (37.1549746 -0.7172175)",Point 19,
"POINT (37.155039 -0.7175769)",Point 20,
"POINT (37.1551678 -0.7178451)",Point 21,
"POINT (37.1548995 -0.7177861)",Point 22,
"POINT (37.1546528 -0.7175877)",Point 23,
"POINT (37.1540788 -0.7171585)",Point 24,
"POINT (37.1543202 -0.7173463)",Point 25,
"POINT (37.1537891 -0.7168528)",Point 26,
"POINT (37.1534029 -0.7166382)",Point 27,
"POINT (37.1530274 -0.7167884)",Point 28,
"POINT (37.1528074 -0.7169333)",Point 29,
"POINT (37.1525446 -0.7170083)",Point 30,
"POINT (37.152389 -0.717062)",Point 31,
"POINT (37.1522549 -0.7171103)",Point 32,
"POINT (37.15211 -0.7171585)",Point 33,
"POINT (37.1518204 -0.7171532)",Point 34,
"POINT (37.15152 -0.7170083)",Point 35,
"POINT (37.1511766 -0.7168474)",Point 36,
"POINT (37.1507743 -0.7168206)",Point 37,
"POINT (37.1472123 -0.7168367)",Point 38,
"POINT (37.1476093 -0.7167884)",Point 39,
"POINT (37.1479312 -0.7167241)",Point 40,
"POINT (37.14843 -0.716708)",Point 41,
"POINT (37.1487895 -0.7167241)",Point 42,
"POINT (37.1490631 -0.7167777)",Point 43,
"POINT (37.1494278 -0.7167777)",Point 44,
"POINT (37.1497014 -0.7168367)",Point 45,
"POINT (37.1500072 -0.7168528)",Point 46,
"POINT (37.1503022 -0.716826)",Point 47,
